id,review.status__id,review.reviewer__contactsId,review.log,tagLine.de,tagLine.en,label.de,label.en,definition.de,definition.en,partOf__id,employsAcceleratorTypes,instanceOf__taxonomyId,parameters.primaryBeamParticles,parameters.secondaryBeamParticles,lifeCycle.currentStatus__taxonomyId,lifeCycle.operation.startYear,lifeCycle.operation.endYear,host__organizationsId,isBMBF_FIS,primaryApplications__taxonomyId,secondaryApplications__taxonomyId,links.homepage.de,links.homepage.en,researchAgenda.path,researchAgenda.layoutGroup,researchAgenda.topics,researchAgenda.objectives,cost.realization__euro,parameters.length__m,parameters.E0__eV,parameters.E1__eV,parameters.srPowerLoss__W,cost.operation__euroPerYear,parameters.luminosity,parameters.repetitionRate__Hz,parameters.pulseDuration__s,parameters.magneticField__T,parameters.cmEnergy__eV,parameters.electricGradient__V_m,parameters.events__Hz,isUserFacility,parameters.emittance__mrad,references,parameters.powerConsumption__W,hasWorkingGroups,lifeCycle.design.startYear,lifeCycle.realization.startYear,parameters.peakBrilliance,parameters.averageBrilliance,cost.realization__inflationReferenceYear,cost.operation__inflationReferenceYear,successorOf__id,hasParts__id,hasPredecessor__id
berlin-protonen/02-sector-cyclotron,01: preparation,,,,,BerlinProtonen / 02-Sektorzyklotron,BerlinProtonen / 02-Sector Cyclotron,"Als Hauptbeschleuniger nutzt BerlinProtonen ein Sektorenzyklotron mit vier Ablenkmagneten und zwei Hochfrequenzkomponenten für eine schrittweise Energieübertragung. Auf diese Weise erreichen die Protonen eine Endenergie von 68 Millionen Elektronenvolt, was etwa der halben Lichtgeschwindigkeit entspricht.","As the main accelerator, BerlinProtonen uses a sector cyclotron with four bending magnets and two high-frequency components for a stepwise energy transfer. In this way, the protons reach a final energy of 68 million electronvolts, which corresponds to about half the speed of light.",berlin-protonen,befidesh/accelerator/cyclotron/sector-cyclotron,befidesh/accelerator/cyclotron/sector-cyclotron,ions / protons,,befidesh/facility-life-cycle/3.1_operation,1998,,hzb,false,befidesh/accelerator-application/medical-application/,,,,,user-facilities,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
berlin-protonen/01-preaccelerator,01: preparation,,,,,BerlinProtonen / 01-Vorbeschleuniger,BerlinProtonen / 01-Pre-Accelerator,"Als Vorbeschleuniger verwendet BerlinProtonen einen Van-de-Graaff-Generator mit einer maximalen Spannung von 5,5 Millionen Volt.","As a pre-accelerator, BerlinProtonen uses a Van de Graaff generator with a maximum potential of 5.5 million volts.",berlin-protonen,befidesh/accelerator/electrostatic-accelerator/van-de-graaff-accelerator,befidesh/accelerator/electrostatic-accelerator/van-de-graaff-accelerator,ions / protons,,befidesh/facility-life-cycle/3.1_operation,1998,,hzb,false,befidesh/accelerator-application/medical-application/,,,,,user-facilities,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
bessy-2,01: preparation,,,Berliner Elektronenspeicherring für Synchrotronstrahlung II,Berlin electron storage ring for synchrotron radiation II,BESSY II,BESSY II,Synchrotron-Strahlungsquelle der dritten Generation für weiche Röntgenstrahlung,Synchrotron-Strahlungsquelle der dritten Generation für weiche Röntgenstrahlung,,befidesh/accelerator/synchrotron/booster-synchrotron,befidesh/facility/accelerator-based-facility/photon-source/synchrotron-light-source/3rd-generation,leptons / electrons,photons,befidesh/facility-life-cycle/3.1_operation,1998,2020,hzb,true,befidesh/accelerator-application/science-application/matter-research/photon-science,,,,photon-science.bessy.bessy-ii,user-facilities,"energy-supply.operation-optimization,beam-modeling.machine-learning,measurement-and-control.machine-learning",,,240,,,,,,,20000.0,,,,,true,1E-10,10.1140/epjp/s13360-023-03957-8,9E3,,,,,,,,,,"bessy-3, bessy-2-vsr, bessy-2_1, bessy-2-plus"
bessy-3,01: preparation,,,Berliner Elektronenspeicherring für Synchrotronstrahlung III,Berlin electron storage ring for synchrotron radiation III,BESSY III,BESSY III,Geplante Synchrotron-Strahlungsquelle der vierten Generation für weiche Röntgenstrahlung,Geplante Synchrotron-Strahlungsquelle der vierten Generation für weiche Röntgenstrahlung,,befidesh/accelerator/synchrotron/,befidesh/facility/accelerator-based-facility/photon-source/synchrotron-light-source/4th-generation,leptons / electrons,photons,befidesh/facility-life-cycle/1.2.1_creating_technical_design,2035,,hzb,true,befidesh/accelerator-application/science-application/matter-research/photon-science,,,,photon-science.bessy.bessy-iii,user-facilities,"cavity-technology.injectors,magnet-technology.undulators,materials.high-frequency-resonators,energy-supply.operation-optimization,energy-supply.networks-and-systems,beam-modeling.machine-learning",facility.energy-efficiency,550m-750m Euro (HR2015),350,,2.5E9,,55m-75m (HR2015),,,,,,,,true,5E-9,10.1140/epjp/s13360-023-03957-8,,,2022,2029,,,,,bessy-2,,
cac,02: prereview request,,,CERN-Beschleunigerkomplex,CERN Accelerator Complex,CERN Accelerator Complex,CERN Accelerator Complex,,,,,befidesh/facility/facility-complex/,,,befidesh/facility-life-cycle/3.1_operation,,,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,"cac/ad, cac/awake, cac/elena, cac/isolde, cac/lhc, cac/linac1, cac/linac2, cac/linac3, cac/linac4, cac/ps, cac/psb, cac/sps",
cac/ad,02: prereview request,,,Antiprotonen-Abbremsanlage,Antiproton Decelerator,AD,AD,"Der Antiprotonen-Entschleuniger am CERN ist eine Anlage zur Erzeugung von niederenergetischen Antiprotonen für die Antimaterieforschung. Er verwendet hochenergetische Antiprotonen aus Protonenkollisionen und bremst sie von knapp unter Lichtgeschwindigkeit auf etwa ein Zehntel der Lichtgeschwindigkeit ab. Diese Abbremsung wird durch den Einsatz starker elektrischer Felder erreicht. Darüber hinaus werden Techniken zur Strahlkühlung eingesetzt, um die Energiespreizung und die Abweichung von der gewünschten Bahn zu verringern. ","The Antiproton Decelerator at CERN is a facility used to produce low-energy antiprotons for antimatter research. It takes high-energy antiprotons from proton collisions and slows them down from just below the speed of light to about one-tenth the speed of light. This deceleration is achieved by using strong electric fields. In addition, beam cooling techniques are employed to reduce the spread in energy and deviation from the desired track. ",cac,befidesh/accelerator/particle-decelerator,befidesh/accelerator/particle-decelerator,ions / antiprotons,,befidesh/facility-life-cycle/3.1_operation,1999,,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
cac/awake,01: preparation,,,Fortgeschrittenes plasmabasiertes protonengetriebenes Beschleuningungsexperiment ,Advanced proton driven plasma Wakefield Acceleration Experiment ,AWAKE,AWAKE,"Machbarkeitsstudie über die Verwendung von Plasma-Wakefields, die von einem Protonenstrahl angetrieben werden, um geladene Teilchen zu beschleunigen.",Feasibility study on the use of plasma wakefields driven by a proton beam to accelerate charged particles.,cac,,befidesh/acceleration/accelerating-process/plasma-based-acceleration/plasma-based_beam-driven_acceleration,ions / protons,leptons / electrons,befidesh/facility-life-cycle/4.1_replaced_by_upgrade,2016,2018,cern,false,befidesh/accelerator-application/science-application/accelerator-research,,https://home.cern/science/accelerators/awake,,accelerator-science.accelerators.awake,test-facilities,"materials.high-frequency-resonators,materials.sensor-materials,ultracompact.particle-beam-plasma-accelerator,beam-modeling.ultra-short-pulses",facility.size,,,,,,,,,,,,,,false,,,,,,,,,,,,,"cac/awake__run-2, cac/awake__run-1"
cac/elena,01: preparation,,,Extra-Niedrigenergie-Antiprotonen-Ring,Extra Low Energy Antiproton ring,ELENA,ELENA,"ELENA (Extra Low ENergy Antiproton) ist ein 30 m langer sechseckiger Speicherring, der Antiprotonenstrahlen abbremst und an verschiedene Experimente liefert. Er soll den vom Antiproton Decelerator AD kommenden Antiprotonenstrahl für präzisere Messungen auf eine Energie von 0,1 MeV abbremsen.",ELENA (Extra Low ENergy Antiproton) is a 30 m hexagonal storage ring that decelerates antiproton beams and delivers it to different experiments. It is designed to further decelerate the antiproton beam coming from the Antiproton Decelerator AD to an energy of 0.1 MeV for more precise measurements.,cac,befidesh/accelerator/particle-decelerator,befidesh/accelerator/particle-decelerator,ions / antiprotons,ions / antiprotons,befidesh/facility-life-cycle/3.1_operation,2020,,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
cac/isolde,01: preparation,,,Einrichtung zur Erzeugung radioaktiver Ionenstrahlen,Isotope Separator On Line DEvice,ISOLDE,ISOLDE,"Anlage zur Erzeugung radioaktiver Nuklide durch Spallations-, Spaltungs- oder Fragmentierungsreaktionen in einem dicken Target, das mit einem Protonenstrahl mit einer Energie von 1,4 GeV und einer Intensität bis zu 2 Mikroampere bestrahlt wird.","Facility for the production of radioactive nuclides by spallation, fission or fragmentation reactions in a thick target irradiated with a proton beam with an energy of 1.4 GeV and an intensity of up to 2 microamperes.",cac,,befidesh/accelerator/particle-decelerator,ions / protons,ions / heavy ions,befidesh/facility-life-cycle/3.1_operation,1992,,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,hadron-physics.isolde,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
cac/lhc,02: prereview request,,,Großer Hadronen-Collider (LHC),Large Hadron Collider (LHC),LHC ,LHC ,,,cac,,befidesh/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"ions / protons, ions / heavy ions",,befidesh/facility-life-cycle/3.1_operation,2021,2024,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc,user-facilities,,,,27000,,,,,,,,,,,,true,,,,,,,,,,,,,"cac/lhc__run-1, cac/lhc__run-2, cac/lhc__run-3, cac/lhc_hl-lhc__run-2, cac/lhc_hl-lhc__run-1"
cac/lhc__run-1,01: preparation,,,Großer Hadronen-Collider,Large Hadron Collider (LHC Run 1),LHC Run 1,LHC Run 1,,,,,befidesh/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"ions / protons, ions / heavy ions",,befidesh/facility-life-cycle/4.1_replaced_by_upgrade,2011,2013,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc.run-1,user-facilities,,,,27000,,,,,,,,,,,,true,,,,,,,,,,,cac/lhc,,
cac/lhc__run-2,01: preparation,,,Großer Hadronen-Collider,Large Hadron Collider (LHC Run 2),LHC Run 2,LHC Run 2,,,,,befidesh/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"ions / protons, ions / heavy ions",,befidesh/facility-life-cycle/4.1_replaced_by_upgrade,2015,2018,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc.run-2,user-facilities,,,,27000,,,,,,,,,,,,true,,,,,,,,,,,cac/lhc,,
cac/lhc__run-3,01: preparation,,,Großer Hadronen-Collider,Large Hadron Collider (LHC Run 3),LHC Run 3 ,LHC Run 3 ,,,,,befidesh/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"ions / protons, ions / heavy ions",,befidesh/facility-life-cycle/3_operation_and_maintenance,2021,2026,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc,user-facilities,,,,27000,,,,,,,,,,,,true,,,,,,,,,,,cac/lhc,,
cac/lhc_hl-lhc__run-2,01: preparation,,,Hochluminöser großer Hadronen-Collider,High-Luminosity Large Hadron Collider (LHC Run 4),HL-LHC (LHC Run 4),HL-LHC (LHC Run 4),"Der HL-LHC ist eine genehmigte Luminositätserhöhung des LHC. Der HL-LHC wird der erste Beschleuniger mit Quadrupol- und Dipolmagneten auf Basis von Nb3Sn-Supraleitern und damit ein wichtiges technologisches Sprungbrett für längerfristige Zukunftsprojekte wie FCC-hh und HE-LHC darstellt. Der HL-LHC wird auch der erste Hadronenbeschleuniger sein, der Krabbenhohlräume verwendet.",The HL-LHC is an approved luminosity increase of the LHC. The HL-LHC will be the first accelerator with quadrupole and dipole magnets based on Nb3Sn superconductors and thus an important technological stepping stone for longer-term future projects such as FCC-hh and HE-LHC. The HL-LHC will also be the first hadron collider to use crab cavities.,,,befidesh/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"ions / protons, ions / heavy ions",,befidesh/facility-life-cycle/2.1_preparation,2030,2033,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc.hl-lhc,user-facilities,"materials.sensor-materials,energy-supply.operation-optimization,energy-supply.load-management",user.data-rate,,27000,,,7.3,,,,,8.3,14000.000,,135.0,true,,,,,,,,,,,cac/lhc,,
cac/lhc_hl-lhc__run-1,01: preparation,,,Hochluminöser großer Hadronen-Collider,High-Luminosity Large Hadron Collider (LHC Run 5),HL-LHC (LHC Run 5),HL-LHC (LHC Run 5),"Der HL-LHC ist eine genehmigte Luminositätserhöhung des LHC. Der HL-LHC wird der erste Beschleuniger mit Quadrupol- und Dipolmagneten auf Basis von Nb3Sn-Supraleitern und damit ein wichtiges technologisches Sprungbrett für längerfristige Zukunftsprojekte wie FCC-hh und HE-LHC darstellt. Der HL-LHC wird auch der erste Hadronenbeschleuniger sein, der Krabbenhohlräume verwendet.","Der HL-LHC ist eine genehmigte Luminositätserhöhung des LHC. Der HL-LHC wird der erste Beschleuniger mit Quadrupol- und Dipolmagneten auf Basis von Nb3Sn-Supraleitern und damit ein wichtiges technologisches Sprungbrett für längerfristige Zukunftsprojekte wie FCC-hh und HE-LHC darstellt. Der HL-LHC wird auch der erste Hadronenbeschleuniger sein, der Krabbenhohlräume verwendet.",,,befidesh/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"ions / protons, ions / heavy ions",,befidesh/facility-life-cycle/1.2_technical_design,2036,2038,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc.hl-lhc,user-facilities,"materials.sensor-materials,energy-supply.operation-optimization,energy-supply.load-management",user.data-rate,,27000,,,7.3,,,,,8.3,14000.000,,135.0,true,,,,,,,,,,,cac/lhc,,
cac/linac1,01: preparation,,,Linearbeschleuniger 1,Linear accelerator 1,Linac 1,Linac 1,,,cac,befidesh/accelerator/linear-accelerator/,befidesh/accelerator/linear-accelerator/,ions / protons,,befidesh/facility-life-cycle/3.1_operation,1958,,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
cac/linac2,01: preparation,,,Linearbeschleuniger 2,Linear accelerator 2,Linac 2,Linac 2,,,cac,befidesh/accelerator/linear-accelerator/,befidesh/accelerator/linear-accelerator/,,,befidesh/facility-life-cycle/3.1_operation,1978,,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
cac/linac3,01: preparation,,,Linearbeschleuniger 3,Linear accelerator 3,Linac 3,Linac 3,,,cac,befidesh/accelerator/linear-accelerator/,befidesh/accelerator/linear-accelerator/,,,befidesh/facility-life-cycle/3.1_operation,1994,,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
cac/linac4,01: preparation,,,Linearbeschleuniger 4,Linear accelerator 4,Linac 4,Linac 4,,,cac,befidesh/accelerator/linear-accelerator/,befidesh/accelerator/linear-accelerator/,,,befidesh/facility-life-cycle/3.1_operation,2020,,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
cac/ps,01: preparation,,,Protonen-Synchrotron,Proton Synchrotron,PS,PS,,,cac,befidesh/accelerator/synchrotron/,befidesh/accelerator/synchrotron/,"ions / protons, ions / heavy ions",,befidesh/facility-life-cycle/3.1_operation,1959,,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
cac/psb,02: prereview request,,,Proton Synchrotron Booster,Proton Synchrotron Booster,PSB,PSB,,,cac,befidesh/accelerator/synchrotron/,befidesh/accelerator/synchrotron/,ions / protons,,befidesh/facility-life-cycle/3.1_operation,1972,,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
cac/sps,01: preparation,,,Super-Protonen-Synchrotron,Super Proton Synchrotron,SPS,SPS,,,cac,befidesh/accelerator/synchrotron/,befidesh/accelerator/synchrotron/,"ions / protons, ions / heavy ions",,befidesh/facility-life-cycle/3.1_operation,,,cern,true,"befidesh/accelerator-application/science-application/nuclear-physics, befidesh/accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
